Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Kiena,1523.3467397850493,525.2199152412154,6.099727372709555e-15,55.69465383261102,401.29388884720174,137.9735820348199,0.4540988384254321,1.5122939409190493e-06,1752.8460976261183,24029.934054618014,526.5229487146871,57.15114063475782,0.0005011580887828759,0.0011443417267458292,6.099421996259614,111.33149118934524,279.23466417405336,18.29313548775919,41.76847205490665,8.176469638511815,0.19102753984497295,0.553115891945507
Magino,7417.927617275365,2435.331896273782,3.184738802940098e-14,985.4827888896646,2533.98225208047,342.3522254369736,4.225447263929359,1.4079354558058126e-06,1005.5626398274494,3279.9475143207005,2589.4803441491517,281.0728628571563,0.0030963392602240277,0.006213577515573957,294.7353693276709,8756.55208105125,7564.8126054783925,113.14522114463004,226.79557456454913,3.1701556055366593,0.2923684703174384,3.075589386262203
Elk,3121.755685885076,965.8411163412735,7.654911192818108e-15,52.156556803621825,604.802044318278,81.24737680880375,0.8029702951979304,3.384145842530278e-07,1601.587074109406,28550.61728174206,1086.6892016957663,117.9623045525731,0.0007440077323927651,0.001493509727289305,9.986702403403381,90.18178102370335,303.4659873895089,27.157391634949715,54.51310390340119,0.7619858553413981,0.07027435057802275,0.7392557133122373
Brucejack,20275.620652561818,6116.055034637974,3.87903641544554e-15,640.9641799356042,1805.4681618091513,1065.639157474388,0.965948585774328,2.7164455598260296e-06,807.8662800424148,3259.399701579045,7306.441601339017,793.0097167031914,0.0017990639112151399,0.002650991154049104,159.17620710725672,5250.954894506938,4319.90615691455,65.66950339765881,96.76117499430785,25.75845555019191,1.344113290426084,1.0337350816930382
Eagle River,3650.126666592737,1132.4951420599755,6.080680378198604e-15,298.19405559687374,753.183744319228,168.7977612212295,0.487566237874383,4.452872077800204e-05,218.6147413428168,1292.5456223809958,1290.4400590116422,140.050403744043,0.0015085301363817441,0.0014663753516592814,85.56726146285395,2714.102745940321,2255.103162256254,55.065938467841505,53.52269895252086,2.851487089079847,0.15623334018416052,0.6224430884845963
Éléonore,3432.2809460101325,1070.4190905715136,2.4332176436884747e-15,116.53276702069519,626.0834197581472,157.6563322601129,0.583944130708116,1.953613527110548e-06,761.2313688312956,1945.5178911481137,1240.588640318301,134.65663103514038,0.0007668695624761219,0.0007857132619427725,29.559932865791126,850.8843758437566,755.0847351007496,27.9939675525258,28.67853368943717,10.103372633678612,0.24079438168000528,0.20709504728802428
Goldex (Au),3987.669741972192,1285.0480526757322,1.0896278598818338e-14,157.96941018210555,2152.958071631875,185.72428332788743,1.2323097498648905,2.532452295346971e-06,1219.1055832499785,3342.4871827929396,1364.5736551475322,148.12269753407512,0.0014298276948192979,0.00257610629307266,16.65435878161125,160.98229701721218,795.3340101965974,52.195026039829045,94.02787777225583,12.72122770040955,0.40839623281114146,0.97288212662349
Island,3317.2432235571855,1004.747837688922,2.093781368232644e-15,765.3236446594414,723.6371328620271,158.1846761072585,0.30491286046479993,6.305730718558676e-05,209.52919669098128,1555.7514360112223,1270.8660926314253,137.91544266139994,0.001708616556001012,0.000863873661391744,193.76068268049767,5622.757034280728,4803.3426899752685,62.37499759751835,31.531387719418102,3.6145918354750326,0.20256911241428077,0.21739324174816832
LaRonde (Doré),2739.8349206927373,860.075884338122,2.9331615520219422e-15,241.51267678253276,580.3232640019186,141.23117783400787,0.31814093805765403,2.183361566511148e-06,967.3150709031576,4269.776979001561,964.0381794562678,104.64184499693157,0.0004607105321187431,0.0007408716918137612,27.303771249819384,260.40367246787,781.9655632749425,16.917169283828486,27.041816185586256,12.088135253095091,0.291651261684752,0.25631282560407354
Lamaque,646.144582798383,209.17419359602562,6.97265634292773e-16,13.715647349991341,171.21654719772658,73.38236988087348,0.17451360339560013,5.925103877891646e-07,841.4860382679375,12790.279807197658,229.46216669297934,24.9085448969576,0.00018701799565343124,0.00021580855340676554,2.186370982124414,30.95923161040818,57.151832846779435,6.826410292783092,7.877012077015378,3.027170669936325,0.12328940468193804,0.08176369348413196
Macassa,8919.288716167232,2932.045893564031,3.863901238067564e-14,593.7430750782477,2301.129721747823,400.9603337660476,3.01681936532519,3.127969550520185e-05,891.6935340998077,7185.327131797289,2970.271568106471,322.41875538789344,0.0033032141744207787,0.007046768516385126,92.81167152766372,1453.0343081867256,2804.4294002050774,120.59602959836356,257.2070447260091,4.217235712679655,0.31765907699670903,3.574692545473146
Musselwhite,4302.748315129467,1301.303440069453,2.6429092040580945e-15,324.8565342734711,948.0991336058206,209.1278854357878,0.3877011919155714,7.055117426199216e-05,308.15662119160004,2609.5055039083554,1586.1149356352557,172.1574060784531,0.0020745729737501354,0.0010589184517645212,90.07874208965792,2843.878409838194,2292.767588563176,75.72596770351048,38.65052246913962,4.189263722742103,0.25756379398355134,0.22027422370821648
Red Lake,5191.950575420282,1558.0717115583454,1.6948135241355784e-15,55.554139189408886,862.5433132221955,224.51529528750558,0.45328215888981754,6.657280647160362e-05,913.7822763787884,14835.131660603201,2219.1033577984786,240.80221639484722,0.0018151179495066643,0.0008686495296990268,8.392039283870597,157.73028493373334,228.92149501236116,66.25568880847031,31.705706910692832,3.9391803963667904,0.6567836235109484,0.28258803948769723
Seabee Gold Operation,14545.711779602554,4336.10278484757,2.210357332296626e-15,1285.523240639316,748.9007620722441,795.9234807722456,0.5031099603787959,4.7172028332687013e-07,312.81280026025036,3974.829585129505,5247.342682694749,569.6119954836415,0.0005579579650642069,0.0007181613614569247,29.32691482495499,988.8850774549705,2522.9671034960747,20.370685403194166,26.212889289014544,2.7832309519500518,0.17133872444804044,4.862091865781955
Snow Lake (Doré),4724.170917031549,1421.8659018078433,9.49195294410026e-16,406.93909096894646,693.3947813983453,112.53662432820892,0.15995383814997005,1.2980855405787873e-06,548.1139749369058,805.6629270809885,1636.1394454127162,177.60603615303228,0.00047310712330724523,0.0012138687283064326,38.52996536266748,109.65441628710343,1063.785251214906,17.27403100188701,44.30620733571507,33.161361913598775,0.878008749398995,0.8064470628909816
