Commodity,Climate change EQ LT (PDF.m2.yr),Climate change EQ ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Seabee Gold Operation,29204.63859798111,8495.202023725766,2.0002931180014665e-15,1280.30027797146,649.9187305239798,790.4671181300913,0.2955821105616552,4.0168057005095944e-07,304.63417644520507,3956.5582344251025,10606.642407426038,1151.3782227388435,0.00044917399415134645,0.0006216326734413491,28.392957498993038,974.9320800167193,2497.231145316494,16.396380720317687,22.689592206314874,2.6653326289494306,-0.01149226666183531,4.82571320886135
Snow Lake (Doré),510.45240088845026,155.68366267174952,2.1782144422214508e-16,340.30693452899646,48.840985939254765,83.00703584195608,0.021154420073300907,7.277830100222473e-08,77.04720250543363,686.9331546404021,179.7960500999581,19.517307959342006,3.304915274430529e-05,8.40142332446213e-05,46.07851488710881,10.813319784872334,791.205563983964,1.206402660497879,3.0665194317287985,1.597674250159034,0.04202378078853826,0.05221942815729402
Timmins Operation,11898.189504454494,3588.409622447701,1.266549112932434e-14,220.28799183538018,4267.182410541241,17946.26545642554,2430.907176214063,0.00013770656951341342,620.4282266104052,3586.2045542193273,4258.001656720942,462.20681535903185,0.004646217574418728,0.0051907796964412774,34.22376298569806,1096.0692638298094,1284.9572719080584,169.67775698163098,189.46345616748812,8.411013257354092,0.20852769700756113,1.3563477778783108
Westwood-Doyon,9470.027399867955,3030.5754106455097,2.889245954711347e-14,415.45537648285494,1812.9471789489078,348.8932206014289,2.7440648436433666,2.906944299290124e-06,1803.5232822775636,15431.001988780123,3234.800269231214,351.14451966539565,0.0020308341039017726,0.004924186781223062,37.32506779533504,343.608246746443,1630.5244898890685,74.12937434485632,179.73281327777477,12.65016115716658,-0.49010643560467215,2.6160082329575904
Eleonore,12708.082102999719,3746.855619315266,4.590110986564383e-15,159.31280878885195,1601.734116209591,282.41987545897047,1.5856275188754514,2.382812050156569e-06,833.2056550926092,2033.638361132913,4652.938846076693,505.07769966412206,0.001893106328254322,0.0018051908142356782,41.19946624993764,956.0568370091079,968.0316230263202,69.10220477440076,65.88946405907295,11.206582525797103,-0.04106830602845646,0.5070078456383349
Nunavik Nickel,0.33126138352933465,0.09895289286617241,8.188173272174922e-20,0.0009656595646119468,0.009881233015142975,0.01012314522986782,8.725073810546883e-06,4.63130640877364e-12,0.00222372876575709,0.005927154125728225,0.11871712949782333,0.012887048801390938,6.321515123945728e-09,1.4859125423098628e-08,0.00011036646081696413,0.0027491170064994873,0.004589293653628303,0.00023075416743938552,0.0005423580656762679,6.8900823639686304e-06,2.2365272733922758e-07,8.454027014366392e-06
Thompson,0.22133581375750405,0.06848959750034643,2.5262687367174205e-19,0.002060413556103853,0.01837224893196481,0.01098385423447989,2.067564303545762e-05,8.650668240005694e-12,0.06960143911517157,1.2898559819198074,0.07807491392462071,0.008475220428534349,1.735086225534197e-08,4.466024579289567e-08,0.00026278011785026926,0.004456136819125867,0.010931053809677042,0.0006333447088950955,0.0016300989335290398,1.797322108705033e-05,5.796582719351918e-07,2.3994182043064997e-05
Voisey's Bay,0.9890050527133246,0.30320074388911,2.65580725203201e-19,0.5415248123024031,0.05087785722531802,0.09190101741096313,0.0002075108405684484,2.1759412970319336e-11,0.03228479746930218,0.5068008916067991,0.35687787485620215,0.03873912069772283,2.4743824502888884e-08,4.993130769001969e-08,0.10339650702330264,1.6974924027040246,2.158140109403051,0.0009032494585551557,0.0018224926912534939,2.6339106779361764e-05,8.586999562869847e-07,2.9889696919302234e-05
Raglan,0.4897166472316751,0.14667058424157908,3.506871556372423e-20,0.06838416925003586,0.022360617832863684,0.04106736723660942,1.1517131016796762e-05,9.017832749368156e-12,0.011775981419258577,0.15478411705352504,0.1833014852058768,0.01989677471460651,7.071763110559783e-09,8.28922117867073e-09,0.022171374676749237,0.7423930813056777,0.5541642976967207,0.00025817416444420924,0.00030255656806210635,6.996655974525699e-06,2.3239185260983498e-07,6.24783553252045e-06
Gibraltar (Mo),4.893843533220565,1.5996195036828016,1.8278643168023555e-17,0.19415503690244942,1.0190415200804035,0.22715983380876853,0.0013082387181922279,5.745044767843276e-10,0.7602840835277785,5.165210214459505,1.661702267697982,0.18037572288564885,1.2633765206702648e-06,3.31167191570377e-06,0.02444484585047197,0.45655889876653005,0.9597134350654913,0.04611556039115035,0.12087602207435738,0.002762553450911026,0.00016330548638476364,0.0017157679448441716
Highland Valley (Mo),2.0752263141431326,0.6659813339339644,5.7503254659557824e-18,0.0483307913067858,0.3163630868091094,0.08468645421579293,0.000415835094133405,1.476600711495999e-10,0.49048463662421654,6.955510891043759,0.7285226778428806,0.0790788682355374,3.7578263518885925e-07,1.0058264683209302e-06,0.008699481988376171,0.19616864671145312,0.3022049639669001,0.01371677113497452,0.0367126652302986,0.00037903847135951386,0.00017293529391653218,0.0005284854645368146
Kidd Creek (Zn),0.0022657400903498487,0.0007686244713501862,1.2963150936267033e-20,0.0025942889774151936,0.0060751539638162376,0.05815311090756414,8.959176171643591e-07,2.9614430737268513e-13,0.008113478106181462,0.13090926071502917,0.001028702235105789,0.00011161268709666883,8.685457127007961e-10,2.3607188902955644e-09,0.0008409654285028178,0.027584164611349746,0.021105824179811876,3.1709103682882054e-05,8.61662376837056e-05,8.283183556516556e-07,2.668632816121164e-08,1.1796811720378016e-06
