Climate change,Commodity,"Human toxicity, cancer","Human toxicity, non-cancer",Ionizing radiations,Ozone layer depletion,Particulate matter,Photochemical ozone formation,Water availability,Source,Reference product
0.010381911393189638,Snow Lake (Doré),0.0001042389470788435,0.0005563552988385823,1.2393935379385802e-06,3.109364359877622e-08,0.004363338507362639,1.6003875169600894e-06,0.0060796275344841,MetalliCan,Doré
0.16907900511489554,Timmins Operation,0.017800704163809702,0.11594267721064422,3.7064598807842167e-06,7.843439732712207e-08,0.009183271325204731,9.291782744737224e-05,0.01720358784867071,MetalliCan,Doré
0.11912182948685063,Westwood-Doyon,0.0011546503492663705,0.0016117612672270185,2.1697986730265864e-05,2.1760090668453494e-07,0.008789812150343915,1.8079186352473587e-05,0.02041423233823103,MetalliCan,Doré
0.21403326810154852,Eleonore,0.0038932639823018272,0.0019062024605841486,1.9445583367758106e-05,2.1313264237397874e-07,0.11111502394694263,9.664101897627231e-05,0.029837152420601143,MetalliCan,Doré
1.0997724451798088e-05,Nunavik Nickel,6.375459150447194e-08,1.637539133004539e-07,2.9079501657402487e-10,1.294268967042579e-11,1.1810596285294306e-06,2.2225063296378515e-08,2.1760630350308499e-07,MetalliCan,Ni concentrate
4.907605927151907e-06,Thompson,1.404628252400683e-06,2.945145128408789e-07,1.332105781792386e-10,9.926586847709664e-12,8.146492502089566e-07,7.443796084850121e-09,7.268565342251582e-08,MetalliCan,Ni concentrate
1.8006953873326283e-05,Voisey's Bay,1.1463978791228234e-07,1.1756860524447844e-07,3.0619553879657905e-10,3.773666539598163e-11,7.930591143822758e-06,1.7702809784259968e-07,1.0877061186376262e-07,MetalliCan,Ni concentrate
1.0608713561888404e-05,Raglan,7.638390322110706e-08,7.993073474874355e-08,1.621936260508011e-10,2.369581947796555e-11,2.3902738579755335e-06,7.787347069711867e-08,7.38908362279057e-08,MetalliCan,Ni concentrate
0.00011603474517005074,Gibraltar (Mo),2.0433572616439188e-06,6.467568888588295e-06,9.693201918463809e-09,2.86520071480809e-10,1.679296877692747e-05,5.4885729751576605e-08,2.490999399766677e-05,MetalliCan,Mo concentrate
4.981352951708287e-05,Highland Valley (Mo),6.488528775265252e-07,2.027744419277866e-06,2.532140159843628e-09,1.1560972263959404e-10,2.4998784018848e-05,2.2065683213139988e-08,1.3766241789830741e-05,MetalliCan,Mo concentrate
9.886279103647177e-07,Kidd Creek (Zn),4.336262797215913e-09,3.143353559362813e-08,2.1116792012265502e-11,5.536453644540264e-13,1.829030221369426e-07,2.911959645897348e-09,4.488749690096284e-08,MetalliCan,Zn concentrate
3.6331586798413713e-06,LaRonde (Zn),2.881059872972344e-08,8.030452118129685e-08,1.0827491786466737e-09,6.4340143974458614e-12,3.319717354950446e-07,1.762841538481418e-09,1.8009355620636274e-06,MetalliCan,Zn concentrate
5.170224918523634e-07,Snow Lake (Zn),5.1911326817886345e-09,2.7706670386355542e-08,6.172219267833835e-11,1.5484733454662452e-12,2.172956422070011e-07,7.969980742585965e-11,3.027673905226934e-07,MetalliCan,Zn concentrate
6.892061710910759e-05,Key Lake + McArthur River,6.594155507128986e-07,9.69453851662199e-07,1.0587056225591139e-09,1.6737735588495e-10,8.04626435746514e-06,6.012974636668127e-08,7.752885330948556e-07,MetalliCan,U concentrate
3.596484051312061e-05,Cigar Lake + McClean Lake,1.9034735422884558e-07,6.771139069893974e-07,4.896162617384313e-10,8.949118806312767e-11,7.422064600486041e-06,4.199544552423579e-08,2.860314072531176e-07,MetalliCan,U concentrate
