Climate change,Commodity,Freshwater acidification,Freshwater ecotoxicity,Land occupation,Land transformation,Marine acidification,Other,Terrestrial acidification,Terrestrial ecotoxicity,Thermally polluted water,Water availability freshwater,Water availability terrestrial,Source,Reference product
14107.412858028736,Porcupine complex,45.78442386870684,1464.8064826390732,1117.6750363041783,17456.73562633844,4394.275822652533,268.0249036858515,319.18267577331244,117.2344820867722,4.288652929533776,0.40621753045660114,0.2540112893290055,MetalliCan,Doré
11394.057026700708,Canadian Malartic,308.8875877228132,2321.265028672808,1309.266800283152,6411.1078821248775,3273.0445426236893,2262.886271781999,2342.9161066308466,187.20138962460578,8.649609233275768,0.4316123240382126,0.9492882617308848,MetalliCan,Doré
15233.279892691577,Detour Lake,507.2823897134298,3500.7657869454365,934.5146096021108,4966.139649425368,4572.841937300303,4028.7701352630042,3850.7051499207864,285.24897417146525,7.419583820748526,0.62859352735817,0.9603477739142184,MetalliCan,Doré
3557.788533661881,Kiena,29.528751041799428,438.06033234614546,1287.059399863148,23950.042915972117,1039.6204004364695,93.05877126099166,212.6606312834961,45.53547722502338,0.32966172600227595,0.03144877246118938,0.2537537843555903,MetalliCan,Doré
12468.838490484846,Magino,951.4046206331227,3630.5684441232725,903.1642693537989,3230.4227948782054,3458.513967195331,9154.282329982803,7607.988701971126,325.6931147567607,3.165113541265788,0.2878667592533617,1.6818292010066944,MetalliCan,Doré
4716.2833580035,Elk,43.96545013042834,867.3883583574284,1585.1319604206437,28610.101276754773,1345.9751007491016,124.9245679270074,313.84389203540803,78.26162501573874,0.7607739306421134,0.06919230899223283,0.4042483193354796,MetalliCan,Doré
6712567.827782942,Brucejack,575.8899851681066,3573.8457524028972,93521707.13162391,1902734944.485582,2117672.3175515477,5502.052902973579,4500.200016017215,164.2768709179685,25.898213101417305,1.341925665130077,0.7745652155230036,MetalliCan,Doré
7138.08923508998,Eagle River,268.0965918673517,461.50158555577036,143.11714908630768,1193.044835068848,2168.1354591165373,2769.8021609173466,2171.6794640293915,47.91274450547296,0.3467829914985406,0.014635020384646591,0.26693270556467136,MetalliCan,Doré
15881.40580995716,Éléonore,133.58354263718323,1111.1922656674678,1044.9400972010565,2007.245269674459,4983.64537500646,974.3800914534436,986.7203459830578,60.980542375346076,10.311049315540357,0.24428170906722357,0.26509386767276144,MetalliCan,Doré
13971.296115312522,Goldex (Au),274.5422761148059,3513.788669173316,1639.8203792337915,3485.335153035231,4177.591682128851,596.5719938444328,1790.1468361748125,152.9672609176323,13.640188694322505,0.429657117213992,0.962418353341259,MetalliCan,Doré
48975382.86684485,Island,549.5194086745274,993.3193779461424,54585471.256377995,1110568011.2026358,15451871.638271254,5818.283819037874,4558.395815067178,93.76984964462532,3.651209214479299,0.16663619430351417,0.19260873966802783,MetalliCan,Doré
5413.272851667707,LaRonde (Doré),102.57388044166031,995.0288654201976,1324.2995412871176,4358.702738225731,1621.9537547828297,366.74593472027163,790.6026495046946,46.94225731338467,12.2852215798216,0.2960735651250559,0.2438179085174225,MetalliCan,Doré
3482.6696405115035,Lamaque,36.7863202576102,447.1191883582353,944.499328687932,12850.97454856946,1077.0065404176257,103.4226565095723,239.73962708284648,16.93701067619184,3.192129034547919,0.1268651267773535,0.13114986661030636,MetalliCan,Doré
14066.79971490545,Macassa,307.1918872139371,3087.4831497689133,736.3057993216634,7162.073311931476,3717.290394096515,1601.4897022057175,2441.0117533400457,317.227653677519,2.3404274639879925,0.21655061570513823,1.7602443865684343,MetalliCan,Doré
16691.413692257072,Musselwhite,283.4595265141542,1309.7571388677143,324.40823822186564,2624.022853910844,5302.288792200797,2952.972919335601,2281.133463463374,114.30756446609286,4.234766252863015,0.2565891755808387,0.22842457571578378,MetalliCan,Doré
