technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,site_id,activity_name,mining_processing_type,archetypes,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key
TECH-cb85213a-2023.0-6.0,2023.0,Energy,Propane,kl,2528.0,,ON-MAIN-cb85213a,,CMP-3d2c4955,WesdomeGoldMinesLtd._ESG_data_2023,57828505.6,lhv+density,"propane MJ/kg=46.4, dens=0.493 kg/L",MJ,False,ON-MAIN-cb85213a,Underground mining and beneficiation at Eagle River,"Underground, concentrator",Free-miling,Au,2.7760508515306124,1.0,mining,20831212.644435346,Doré,concentrate_economic
TECH-6dc537e6-2023.0-1.0,2023.0,Energy,Aviation fuel,GJ,21662.09888,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,21662098.88,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,2799118.621685107,Doré,concentrate_economic
TECH-6dc537e6-2023.0-3.0,2023.0,Energy,Diesel,GJ,385327.7974,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,385327797.4,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,49791029.90574319,Doré,concentrate_economic
TECH-6dc537e6-2023.0-4.0,2023.0,Energy,Electricity consumption|Generated on-site,GJ,3531.1068,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,3531106.8,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,456280.19952233305,Doré,concentrate_economic
TECH-6dc537e6-2023.0-5.0,2023.0,Energy,Electricity consumption|Grid electricity,GJ,892229.95044,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,892229950.44,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,115291573.68068407,Doré,concentrate_economic
TECH-6dc537e6-2023.0-6.0,2023.0,Energy,Gasoline,GJ,10018.1179,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,10018117.9,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,1294514.4661867085,Doré,concentrate_economic
TECH-6dc537e6-2023.0-11.0,2023.0,Energy,Propane,GJ,142393.17415,,QC-MAIN-6dc537e6,,CMP-4a434d72,NewmontCorporation_2023-Performance-data,142393174.15,direct_unit,gj→MJ factor=1000.0,MJ,False,QC-MAIN-6dc537e6,Underground mining and beneficiation at Éléonore,"Underground, concentrator",Free-miling,Au,7.738899920918366,1.0,mining,18399666.051386587,Doré,concentrate_economic
TECH-6b4800fe-2023.0-1.0,2023.0,Energy,Diesel,GJ,1683653.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,1683653000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,185367.93066666668,0.9997556641309961,mining,9080.543852043058,Cu concentrate,concentrate_economic
TECH-6b4800fe-2023.0-1.0,2023.0,Energy,Diesel,GJ,1683653.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,1683653000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Mo,10.690540862745097,0.0002443358690038284,mining,38480.44959909261,Mo concentrate,concentrate_economic
TECH-6b4800fe-2023.0-2.0,2023.0,Energy,Electricity consumption|Grid electricity,GJ,1695665.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,1695665000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Cu,185367.93066666668,0.9997556641309961,mining,9145.328871729858,Cu concentrate,concentrate_economic
TECH-6b4800fe-2023.0-2.0,2023.0,Energy,Electricity consumption|Grid electricity,GJ,1695665.0,,BC-MAIN-6b4800fe,,CMP-e35f138c,TasekoMinesLimited_ESG_2023,1695665000.0,direct_unit,gj→MJ factor=1000.0,MJ,False,BC-MAIN-6b4800fe,Open-pit mining and beneficiation at Gibraltar,"Open-pit, concentrator","Porphyry sulfide, flotation-based",Mo,10.690540862745097,0.0002443358690038284,mining,38754.98785643204,Mo concentrate,concentrate_economic
