site_id,flow_type,functional_unit,normalization_key,allocation_factor,unit,activity_name,mining_processing_type,archetypes,npv,operation_periods,data_source,value_formula,parameter_distribution,value_normalized,reference_mass_unit
ON-MAIN-48fe2205,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Garson,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.0021764974486881477,kg
ON-MAIN-48fe2205,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Garson,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.0021764974486881477,kg
ON-MAIN-48fe2205,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Underground mining at Garson,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.04352994897376296,kg
ON-MAIN-4e0734b5,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Fox Complex,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2009–open,MetalliCan,,,254.7132048132036,kg
ON-MAIN-4e0734b5,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Fox Complex,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2009–open,MetalliCan,,,254.7132048132036,kg
ON-MAIN-4e0734b5,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Fox Complex,"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,2009–open,MetalliCan,,,5094.264096264072,kg
ON-MAIN-52224e1e,transformation_from,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Creighton,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.0013610494896831363,kg
ON-MAIN-52224e1e,transformation_to,Ni concentrate,land_concentrate_economic,1.0,m2,Underground mining at Creighton,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.0013610494896831363,kg
ON-MAIN-52224e1e,occupation,Ni concentrate,land_concentrate_economic,1.0,m2*year,Underground mining at Creighton,Underground,Ni–Cu sulfide,Cool Mixed Forest,,MetalliCan,,,0.027220989793662723,kg
ON-MAIN-6e9be24e,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Hemlo (Williams),"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1985–open,MetalliCan,,,39.127136939168174,kg
ON-MAIN-6e9be24e,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit and underground mining and beneficiation at Hemlo (Williams),"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1985–open,MetalliCan,,,39.127136939168174,kg
ON-MAIN-6e9be24e,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit and underground mining and beneficiation at Hemlo (Williams),"Open-pit, underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1985–open,MetalliCan,,,782.5427387833633,kg
ON-MAIN-7607a50e,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1917–1957; 2010–open,MetalliCan,,,15.95122796546031,kg
ON-MAIN-7607a50e,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1917–1957; 2010–open,MetalliCan,,,15.95122796546031,kg
ON-MAIN-7607a50e,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Cool Mixed Forest,1917–1957; 2010–open,MetalliCan,,,319.0245593092062,kg
ON-MAIN-7f050560,transformation_from,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Red Lake,"Underground, concentrator",Au–Ag refractory,Cool Mixed Forest,1949–open,MetalliCan,,,85.81976298389459,kg
ON-MAIN-7f050560,transformation_to,Doré,land_concentrate_economic,1.0,m2,Underground mining and beneficiation at Red Lake,"Underground, concentrator",Au–Ag refractory,Cool Mixed Forest,1949–open,MetalliCan,,,85.81976298389459,kg
ON-MAIN-7f050560,occupation,Doré,land_concentrate_economic,1.0,m2*year,Underground mining and beneficiation at Red Lake,"Underground, concentrator",Au–Ag refractory,Cool Mixed Forest,1949–open,MetalliCan,,,1716.3952596778915,kg
ON-MAIN-8825d90d,transformation_from,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Magino,"Open-pit, concentrator",Au–Ag free-milling,Cool Mixed Forest,,MetalliCan,,,11.479723926504542,kg
ON-MAIN-8825d90d,transformation_to,Doré,land_concentrate_economic,1.0,m2,Open-pit mining and beneficiation at Magino,"Open-pit, concentrator",Au–Ag free-milling,Cool Mixed Forest,,MetalliCan,,,11.479723926504542,kg
ON-MAIN-8825d90d,occupation,Doré,land_concentrate_economic,1.0,m2*year,Open-pit mining and beneficiation at Magino,"Open-pit, concentrator",Au–Ag free-milling,Cool Mixed Forest,,MetalliCan,,,229.59447853009087,kg
