site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,value_formula,parameter_distribution,Stream,concentrate,mass_conc,allocation_factor,facility_type,value_normalized,functional_unit,normalization_key,reference_mass_unit
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Flocculant,46.2,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.011218583749797343,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Grease,4.5,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.0010927191964088321,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Hydraulic oil,200.2,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.04861386291578848,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Lime,5069.3,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,1.2309603160789537,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Motor/drill oil,18.9,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.004589420624917094,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Sulfur dioxide,539.0,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.13088347708096898,Doré,concentrate_economic,kg
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Transmission oil,8.1,t,MetalliCan,,,,Au,4.118166876530612,1.0,mining,0.0019668945535358975,Doré,concentrate_economic,kg
ON-MAIN-7607a50e,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Material use,Total blasting agents used e.g. ANFO,2599.5,t,MetalliCan,,,,Au,5.874752908163255,1.0,mining,0.4424866952936639,Doré,concentrate_economic,kg
ON-MAIN-7607a50e,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Material use,Total sodium cyanide used,1955.7,t,MetalliCan,,,,Au,5.874752908163255,1.0,mining,0.3328991075152216,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Acids,2096.3134944582503,kg,Archetype inference | MetalliCan,ore_processed_t * 0.01262839454492922,,,Au,0.920409693877551,1.0,mining,2.2775873704967067,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Activated carbon,9696.711798839444,kg,Archetype inference | MetalliCan,ore_processed_t * 0.0584139264990328,,,Au,0.920409693877551,1.0,mining,10.535212594283552,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Anti-scalant,5031.5569840440885,kg,Archetype inference | MetalliCan,ore_processed_t * 0.03031058424122945,,,Au,0.920409693877551,1.0,mining,5.466649273158866,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Cyanide,71603.8233519373,kg,Archetype inference | MetalliCan,ore_processed_t * 0.4313483334454054,,,Au,0.920409693877551,1.0,mining,77.79559888192931,Doré,concentrate_economic,kg
BC-MAIN-857b7b89,Underground mining and beneficiation at Brucejack,"Underground, concentrator",Au–Ag free-milling,Materials,Flocculant,5120.5713411732595,kg,Archetype inference | MetalliCan,ore_processed_t * 0.03084681530827265,,,Au,0.920409693877551,1.0,mining,5.563360941583571,Doré,concentrate_economic,kg
