site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",2.00853652469014e-05,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.06885733532308266,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.000893575582762147,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",1.7435489008656495,consumption market for lime,lime,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0226263871213594,consumption market for lime,lime,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.006500517670360952,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",8.43585340369859e-05,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.18538513356214567,"consumption market for sulfur dioxide, liquid","sulfur dioxide, liquid",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",0.0024057804151288572,"consumption market for sulfur dioxide, liquid","sulfur dioxide, liquid",kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Au, usable ore",0.002785936144440408,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
QC-MAIN-02884fb5,"Au and Ag, Underground mining and beneficiation at Westwood-Doyon","Ag, usable ore",3.6153657444422495e-05,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, Underground mining and beneficiation at Young-Davidson","Au, usable ore",0.4515170360139427,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, Underground mining and beneficiation at Young-Davidson","Au, usable ore",0.4515170360139427,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-7607a50e,"Au, Underground mining and beneficiation at Young-Davidson","Au, usable ore",0.3396929668522669,consumption market for sodium cyanide,sodium cyanide,kilogram,CA,Regioinvent
