site_id,activity_name,functional_unit,Amount,Activity,Product,Unit,Location,Database
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,2.357122318001632e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,3.162433666311636e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,3.162433666311636e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,6.211431793361817e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,"Au and Ag, OP and UG mining and beneficiation at Meliadine",Ore processed,6.211431793361817e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,6.241305858242979e-07,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,3.4908067997679317e-10,consumption market for biogas,biogas,cubic meter,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,6.981601909804543e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,1.1913351824587234e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,4.819616868836375e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,4.0077853073929965e-07,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,3.7052376284656905e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,"Au, UG mining and beneficiation at Musselwhite",Ore processed,0.00013777832033929962,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,1.840609347471452e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,1.5586819021919417e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,1.2972058999999999e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,2.2734094616639477e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,2.2734094616639477e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,2.8765156974266272e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,5.486986504523207e-07,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
BC-MAIN-aa76f6f2,"Au and Cu, UG mining and beneficiation at New Afton",Ore processed,4.994258890701468e-09,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,9.252574722911914e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,4.0376249558534925e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,2.2524915563669557e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,2.2524915563669557e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,9.66404627191089e-08,consumption market for diesel,diesel,kilogram,CA,Regioinvent
ON-MAIN-0aadf28f,"Au, OP and UG mining and beneficiation at Rainy River",Ore processed,2.0765250735851212e-07,consumption market for propane,propane,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,4.853877699736613e-06,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,1.7559262510973998e-09,consumption market for acetylene,acetylene,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,2.4662802146222613e-06,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,2.7803129189456277e-05,consumption market for diesel,diesel,kilogram,CA,Regioinvent
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,0.0003108441520991789,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-8eb8be0d,"Au and Cu, OP mining and beneficiation at Red Chris",Ore processed,4.953523321389871e-07,consumption market for diesel,diesel,kilogram,CA,Regioinvent
