main_id,facility_group_id,Amount,Activity,Product,Unit,Location,Database
QC-MAIN-e51eda66,,7.05651426191278e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
QC-MAIN-e51eda66,,3.1785550685940564e-06,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,,0.0004134052919095085,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-1f126a43,,4.8147057417089405e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-1f126a43,,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,6.233261169536612e-05,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,3.2846237906158016e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-1f126a43,,2.1042984740197977e-05,"consumption market for natural gas, high pressure","natural gas, high pressure",cubic meter,CA,Regioinvent
ON-MAIN-1f126a43,,3.211372248058965e-08,consumption market for propane,propane,kilogram,CA,Regioinvent
,GRP-0a2c0d69,0.00015456902504356462,consumption market for diesel,diesel,kg,CA,Regioinvent
,GRP-0a2c0d69,2.173214360081243e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
,GRP-0a2c0d69,3.931142286865758e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
,GRP-0a2c0d69,3.931142286865758e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
,GRP-0a2c0d69,2.9986469569746024e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
,GRP-0a2c0d69,2.9986469569746024e-07,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
,GRP-0a2c0d69,1.90259375475146e-06,consumption market for lubricating oil,lubricating oil,kilogram,CA,Regioinvent
,GRP-0a2c0d69,1.3180113939275279e-09,consumption market for propane,propane,kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,,0.00024907201058523796,consumption market for diesel,diesel,kg,CA,Regioinvent
NU-MAIN-8b0264c9,,2.357122318001632e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
NU-MAIN-8b0264c9,,3.162433666311636e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,,3.162433666311636e-06,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,,6.211431793361817e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
NU-MAIN-8b0264c9,,6.211431793361817e-08,consumption market for light fuel oil,light fuel oil,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,,6.241305858242979e-07,consumption market for kerosene,kerosene,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,,3.4908067997679317e-10,consumption market for biogas,biogas,cubic meter,CA,Regioinvent
ON-MAIN-fefeaee4,,6.981601909804543e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-fefeaee4,,1.1913351824587234e-07,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-fefeaee4,,4.819616868836375e-06,consumption market for propane,propane,kilogram,CA,Regioinvent
ON-MAIN-fefeaee4,,4.0077853073929965e-07,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
ON-MAIN-fefeaee4,,3.7052376284656905e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
ON-MAIN-fefeaee4,,0.00013777832033929962,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-ON,ecoinvent-3.10-cutoff regionalized
BC-MAIN-aa76f6f2,,1.840609347471452e-05,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-aa76f6f2,,1.5586819021919417e-05,"market for electricity, medium voltage","electricity, medium voltage",kilowatt hour,CA-BC,ecoinvent-3.10-cutoff regionalized
BC-MAIN-aa76f6f2,,1.3945731162790699e-06,consumption market for diesel,diesel,kg,CA,Regioinvent
BC-MAIN-aa76f6f2,,2.2734094616639477e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,,2.2734094616639477e-07,"consumption market for explosive, tovex","explosive, tovex",kilogram,CA,Regioinvent
BC-MAIN-aa76f6f2,,3.0011237599753096e-08,consumption market for diesel,diesel,kg,CA,Regioinvent
