main_id,facility_group_id,Amount,Unit,Flow Name,Compartments,Database
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,3.86682433730901e-08,kilogram,"NMVOC, non-methane volatile organic compounds, CA-ON","('air', 'low population density long term')",biosphere3_spatialized_flows
,GRP-147b3123,2.0279054568440002e-07,kilogram,Nitrogen oxides,"('air',)",biosphere3
,GRP-147b3123,3.014114659580814e-08,kilogram,Sulfur dioxide,"('air', 'lower stratosphere + upper troposphere')",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('air',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('air',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('air',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('air',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('air',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('soil', 'industrial')",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('water',)",biosphere3
,GRP-147b3123,5.364502541296e-09,kilogram,Arsenic ion,"('water',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('air',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('air',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('air',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('air',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('water',)",biosphere3
,GRP-147b3123,1.2324015247776363e-11,kilogram,Cadmium II,"('water',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('air',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('air',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('air',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('air',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('water',)",biosphere3
,GRP-147b3123,8.155019059720457e-09,kilogram,Chromium III,"('water',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('air',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('air',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('air',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('air',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('soil', 'industrial')",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('water',)",biosphere3
,GRP-147b3123,1.2058691232528e-09,kilogram,Cobalt II,"('water',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('air',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('air',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('air',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('air',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('water',)",biosphere3
,GRP-147b3123,2.7039390088945364e-09,kilogram,Copper ion,"('water',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('air',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('air',)",biosphere3
,GRP-147b3123,1.3366594663278e-09,kilogram,Lead II,"('air',)",biosphere3
