technosphere_id,year,flow_type,subflow_type,unit,value,comment,main_id,facility_group_id,company_id,source_id,value_MJ,unit_source,assumption_note,unit_standard,needs_factor,value_tonnes_main,value_tonnes_group,value_tonnes_match,value_normalized,normalization_key,subflow_type_agg
TECH-GRP-14bfbb82-2023-4,2023,Energy,Electricity consumption|Grid electricity,kWh,53673624.0,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_ESG_2023,193225046.4,direct_unit,kwh→MJ factor=3.6,MJ,False,,122000.0,122000.0,1583.811855737705,facility_group_id,Electricity
TECH-GRP-14bfbb82-2023-5,2023,Energy,Electricity consumption|Generated on-site,kWh,452775.0,,,GRP-14bfbb82,CMP-4a73c5f8,SRC_SSRMiningInc_ESG_2023,1629990.0,direct_unit,kwh→MJ factor=3.6,MJ,False,,122000.0,122000.0,13.360573770491802,facility_group_id,Electricity
TECH-9de9bb0d-2023-1,2023,Energy,Diesel,kl,2829.0,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,109199400.0,lhv_factor,diesel MJ/L=38.6,MJ,False,222627.0,,222627.0,490.50384724224824,main_id,Diesel
TECH-9de9bb0d-2023-2,2023,Energy,Gasoline,kl,369.0,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,12619800.000000002,lhv_factor,gasoline MJ/L=34.2,MJ,False,222627.0,,222627.0,56.685846730180984,main_id,Gasoline
TECH-9de9bb0d-2023-3,2023,Energy,Explosives,t,1211.0,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,4844000.0,lhv_factor,explosives MJ/kg=4.0,MJ,False,222627.0,,222627.0,21.758367134264937,main_id,Explosives
TECH-9de9bb0d-2023-4,2023,Energy,Propane,kl,2528.0,,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,63958400.0,lhv_factor,propane MJ/L=25.3,MJ,False,222627.0,,222627.0,287.2895021717941,main_id,LPG-Propane
TECH-9de9bb0d-2023-5,2023,Energy,Electricity consumption|Grid electricity,MWh,38555.380000000005,Given in MW in the Excel file but does not make sense,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,138799368.00000003,direct_unit,mwh→MJ factor=3600.0,MJ,False,222627.0,,222627.0,623.4615208397904,main_id,Electricity
TECH-9de9bb0d-2023-6,2023,Energy,Electricity consumption|Generated on-site,MWh,34190.619999999995,Given in MW in the Excel file but does not make sense,QC-MAIN-9de9bb0d,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,123086231.99999999,direct_unit,mwh→MJ factor=3600.0,MJ,False,222627.0,,222627.0,552.8809713107573,main_id,Electricity
TECH-c5fefb01-2023-1,2023,Energy,Diesel,kl,1188.0,,ON-MAIN-c5fefb01,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,45856800.0,lhv_factor,diesel MJ/L=38.6,MJ,False,191148.0,,191148.0,239.9020654152803,main_id,Diesel
TECH-c5fefb01-2023-2,2023,Energy,Gasoline,kl,36.0,,ON-MAIN-c5fefb01,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,1231200.0,lhv_factor,gasoline MJ/L=34.2,MJ,False,191148.0,,191148.0,6.441082302718312,main_id,Gasoline
TECH-c5fefb01-2023-3,2023,Energy,Explosives,t,506.0,,ON-MAIN-c5fefb01,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,2024000.0,lhv_factor,explosives MJ/kg=4.0,MJ,False,191148.0,,191148.0,10.588653817983971,main_id,Explosives
TECH-c5fefb01-2023-5,2023,Energy,Electricity consumption|Grid electricity,MWh,32053.5,Given in MW in the Excel file but does not make sense,ON-MAIN-c5fefb01,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,115392600.0,direct_unit,mwh→MJ factor=3600.0,MJ,False,191148.0,,191148.0,603.6819637139807,main_id,Electricity
TECH-c5fefb01-2023-6,2023,Energy,Electricity consumption|Generated on-site,MWh,10684.5,Given in MW in the Excel file but does not make sense,ON-MAIN-c5fefb01,,CMP-3d2c4955,SRC_WesdomeGoldMinesLtd._ESG_data_2023,38464200.0,direct_unit,mwh→MJ factor=3600.0,MJ,False,191148.0,,191148.0,201.2273212379936,main_id,Electricity
