site_id,activity_name,mining_processing_type,archetypes,flow_type,subflow_type,value,unit,data_source,ore_processed_t,value_normalized,functional_unit,allocation_factor,normalization_key
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Ammonium nitrate,6.9,t,MetalliCan,1574000.0,4.383735705209657e-06,Ore processed,1,ore
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Dynamite,1629.933333333333,t,MetalliCan,1574000.0,0.0010355357899195254,Ore processed,1,ore
GRP-147b3123,Underground mining and beneficiation at Timmins Operation,"Underground, concentrator",Au–Ag free-milling,Material use,Emulsions,675.4333333333334,t,MetalliCan,1574000.0,0.00042911901736552313,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,ANFO,665.608695652174,t,MetalliCan,1034000.0,0.0006437221427970735,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Anti-scalant,35.4,t,MetalliCan,1034000.0,3.4235976789168274e-05,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Carbon,60.4,t,MetalliCan,1034000.0,5.841392649903288e-05,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Caustic soda,86.6,t,MetalliCan,1034000.0,8.375241779497098e-05,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Compressor oil,1.5,t,MetalliCan,1034000.0,1.4506769825918762e-06,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Cyanide,399.3,t,MetalliCan,1034000.0,0.00038617021276595744,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Emulsion ANFO,1420.2,t,MetalliCan,1034000.0,0.0013735009671179885,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Explosives,1483.4,t,MetalliCan,1034000.0,0.0014346228239845262,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Flocculant,46.2,t,MetalliCan,1034000.0,4.468085106382979e-05,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Grease,4.5,t,MetalliCan,1034000.0,4.352030947775629e-06,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Hydraulic oil,200.2,t,MetalliCan,1034000.0,0.00019361702127659573,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Lime,5069.3,t,MetalliCan,1034000.0,0.004902611218568665,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Motor/drill oil,18.9,t,MetalliCan,1034000.0,1.827852998065764e-05,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Sulfur dioxide,539.0,t,MetalliCan,1034000.0,0.0005212765957446809,Ore processed,1,ore
QC-MAIN-02884fb5,Underground mining and beneficiation at Westwood-Doyon,"Underground, concentrator",Au–Ag free-milling,Material use,Transmission oil,8.1,t,MetalliCan,1034000.0,7.833655705996132e-06,Ore processed,1,ore
ON-MAIN-7607a50e,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Material use,Total blasting agents used e.g. ANFO,2599.5,t,MetalliCan,2878047.0,0.0009032166604645441,Ore processed,1,ore
ON-MAIN-7607a50e,Underground mining and beneficiation at Young-Davidson,"Underground, concentrator",Au–Ag free-milling,Material use,Total sodium cyanide used,1955.7,t,MetalliCan,2878047.0,0.0006795233017389918,Ore processed,1,ore
