main_id,facility_type,facility_name,commodities,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
MB-MAIN-c0684566,advanced project,Rail,"Copper, gold, zinc, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
MB-MAIN-0898e255,mining,Stall Lake,"Gold, zinc",0,0,9,0,0,0,0,1,1,1,4,1,15,0,2,0,32,128
MB-MAIN-854abe09,advanced project,Talbot,"Gold, zinc, copper, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
MB-MAIN-1a82a1b7,advanced project,Tower,"Gold, zinc, copper, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
MB-MAIN-b5b81ee3,advanced project,Wim,"Gold, zinc, copper, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
QC-MAIN-02884fb5,mining,Westwood-Doyon,"Gold, silver",1,0,9,0,7,0,29,1,8,1,4,1,6,37,5,0,32,128
ON-MAIN-a3c56a83,mining,Lac des Iles,"Platinum group metals, gold, nickel, copper, cobalt",0,10,9,0,3,0,7,1,1,1,4,1,5,8,20,0,32,128
BC-MAIN-3f490561,mining,Mount Polley,"Gold, copper, silver",0,2,9,0,0,0,217,1,6,1,4,1,9,16,9,0,32,128
QC-MAIN-586679b9,advanced project,Crater Lake,"Scandium, rare earth elements",0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
NL-MAIN-dd723db4,mining,Carol Lake,Iron,1,0,9,0,1,4,1,1,4,1,4,1,1,6,16,0,32,128
ON-MAIN-7001a391,mining,McCreedy West,"Copper, nickel, platinum group metals, gold, silver, cobalt",1,0,9,0,0,0,104,1,4,1,4,1,10,23,0,0,32,128
ON-MAIN-9a34108c,advanced project,Victoria,"Nickel, copper, gold, cobalt, platinum, palladium",0,0,9,0,0,0,20,1,1,1,4,1,0,22,0,0,32,128
ON-MAIN-6bd6cc80,manufacturing,Kingston Operation,,0,0,9,0,0,0,0,1,0,1,4,1,0,84,0,0,32,128
MB-MAIN-a832fb0a,advanced project,East Wekusko - Snow Lake,"Gold, silver, copper, zinc",0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
BC-MAIN-12730593,advanced project,Kutcho,"Copper, zinc, silver, gold, lead",0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
ON-MAIN-575c5e66,advanced project,Ontario Spoke,Battery materials (black mass),0,0,9,0,0,0,0,1,0,1,4,1,0,80,0,0,32,128
ON-MAIN-6b998583,advanced project,Markham lithium reprocessing facility,Lithium metal,0,0,9,0,0,0,0,1,0,1,4,1,0,74,0,0,32,128
QC-MAIN-0414a373,advanced project,Lithion St-Bruno,Battery materials (black mass),0,0,9,0,0,0,0,1,0,1,4,1,0,196,0,0,32,128
AB-MAIN-35d0dc71,advanced project,Boardwalk,Lithium (brine),0,0,9,0,0,0,0,1,0,1,4,1,0,7,0,0,32,128
QC-MAIN-a2c6775d,advanced project,La Loutre,Graphite,0,0,9,0,0,0,0,1,0,1,4,1,0,117,0,0,32,128
ON-MAIN-b1d981ca,advanced project,Crean Hill,"Nickel, copper, cobalt, platinum, palladium, gold",0,0,9,0,0,0,0,1,2,1,4,1,0,23,0,0,32,128
ON-MAIN-54b7e152,advanced project,Shakespeare,"Nickel, copper, palladium, platinum, gold, cobalt",0,0,9,0,0,0,0,1,8,1,4,1,0,30,0,0,32,128
QC-MAIN-aa793d35,advanced project,Dumont Nickel,"Nickel, cobalt, platinum, palladium, iron ore",0,0,9,0,0,0,0,1,0,1,4,1,0,36,0,0,32,128
QC-MAIN-649d2873,manufacturing,Niobec Converter,Ferroniobium,0,0,9,0,0,0,0,1,0,1,4,1,0,61,0,0,32,128
QC-MAIN-a555d9b9,mining,Niobec,Niobium,1,0,9,0,0,0,145,1,2,1,4,1,1,61,0,0,32,128
NB-MAIN-c1e4dee0,advanced project,Battery Hill,"Manganese, iron ore",0,0,9,0,0,0,0,1,0,1,4,1,0,112,0,0,32,128
NL-MAIN-f021107e,mining,Point Rousse,Gold,1,0,9,0,0,0,0,1,2,1,4,1,0,1,0,0,32,128
QC-MAIN-615ebdb4,advanced project,Lac Guéret (Uatnan),Graphite,0,0,9,0,0,0,0,1,0,1,4,1,0,52,0,0,32,128
ON-MAIN-470b504b,manufacturing,Ottawa Plant,"Vanadium, molybdenum",0,0,9,0,0,0,0,1,0,1,4,1,0,123,0,0,32,128
ON-MAIN-4e0734b5,mining,Fox Complex,Gold,1,0,9,0,0,0,0,1,14,1,4,1,7,17,0,0,32,128
QC-MAIN-237d67c1,advanced project,Lac Rainy Graphite,Graphite,0,0,9,0,0,0,0,1,0,1,4,1,0,7,0,0,32,128
BC-MAIN-c7247100,advanced project,Driftwood Creek,Magnesium,0,0,9,0,0,0,0,1,0,1,4,1,0,17,0,0,32,128
YT-MAIN-752fbcae,mining,Minto,"Copper, gold, silver",1,0,9,0,0,0,1,1,1,1,4,1,2,3,0,0,32,128
NU-MAIN-8e62bfbc,advanced project,High Lake,"Copper, zinc, gold, silver, lead",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
NU-MAIN-1ef8af2c,advanced project,Izok Lake,"Zinc, copper, silver, lead, gold",0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
QC-MAIN-eb73fd68,advanced project,Nemaska lithium conversion facility,Lithium hydroxide,0,0,9,0,0,0,0,1,0,1,4,1,0,85,0,0,32,128
QC-MAIN-9d41d417,advanced project,Whabouchi,Lithium (spodumene),0,0,9,0,0,0,0,1,4,1,4,1,0,2,0,0,32,128
ON-MAIN-2bb07cd3,advanced project,River Valley,"Palladium, platinum, gold, nickel, copper, rhodium, cobalt",0,0,9,0,0,0,0,1,0,1,4,1,0,23,0,0,32,128
BC-MAIN-aa76f6f2,mining,New Afton,"Gold, copper, silver",1,2,9,0,7,0,178,1,13,1,4,1,11,48,12,0,32,128
ON-MAIN-0aadf28f,mining,Rainy River,"Gold, silver",1,0,9,0,5,0,141,1,3,1,4,1,6,32,10,0,32,128
ON-MAIN-1c674cd0,mining,Borden,Gold,1,0,9,0,0,0,132,1,0,1,4,1,0,16,0,0,32,128
BC-MAIN-857b7b89,mining,Brucejack,"Gold, silver",1,0,9,0,7,0,50,1,0,1,4,1,8,6,6,0,32,128
BC-MAIN-c720b195,advanced project,GJ,"Copper, gold, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,9,0,0,32,128
ON-MAIN-8629a493,mining,Hollinger,Gold,1,0,9,0,0,0,0,1,3,1,4,1,0,9,0,0,32,128
ON-MAIN-538513cd,mining,Hoyle Pond,Gold,1,0,9,0,6,2,28,1,3,1,4,1,5,10,5,0,32,128
ON-MAIN-fefeaee4,mining,Musselwhite,"Gold, silver",1,0,9,0,8,0,211,1,8,1,4,1,5,2,3,1,32,128
ON-MAIN-3b3e5365,mining,Porcupine,Gold,1,0,9,0,0,0,222,1,1,1,4,1,0,10,0,15,32,128
BC-MAIN-8eb8be0d,mining,Red Chris,"Gold, copper, silver",1,2,9,0,8,2,184,1,3,1,4,1,7,10,5,0,32,128
QC-MAIN-6dc537e6,mining,Éléonore,Gold,1,0,9,0,0,0,218,1,12,1,4,1,0,1,0,0,32,128
BC-MAIN-b4655afb,advanced project,Galore Creek,"Copper, gold, silver",0,2,9,0,0,0,0,1,0,1,4,1,0,2,6,0,32,128
SK-MAIN-3012889c,advanced project,Rook I,Uranium,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
YT-MAIN-1910d1c3,advanced project,Nickel Shaw,"Nickel, copper, platinum, palladium, gold, cobalt",0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
QC-MAIN-288718a6,advanced project,Crevier,"Niobium, tantalum",0,0,9,0,0,0,0,1,0,1,4,1,0,44,0,0,32,128
NB-MAIN-f58cc895,advanced project,Sisson,"Tungsten, molybdenum",0,0,9,0,0,0,0,1,0,1,4,1,0,108,0,0,32,128
ON-MAIN-8b86d975,advanced project,Bissett Creek,Graphite,0,0,9,0,0,0,0,1,0,1,4,1,0,51,0,0,32,128
BC-MAIN-6fbdcf4c,advanced project,North Island,"Copper, gold, molybdenum, rhenium",0,0,9,0,0,0,0,1,0,1,4,1,0,73,0,0,32,128
BC-MAIN-265a57f6,advanced project,Kwanika,"Copper, gold, silver",0,0,9,0,0,0,0,1,0,1,4,1,0,19,0,0,32,128
NT-MAIN-b3681e03,advanced project,Prairie Creek,"Zinc, lead, silver",0,0,9,0,0,0,0,1,1,1,4,1,0,2,0,0,32,128
