reference_product_market,flow_type,name,supplier_reference_product,categories,unit,location,impact_score_market,n_sites,total_score_market,share_%
Cu concentrate,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,0.00010317682385766573,4,1.5207751841876989,0.006784488919233399
Cu concentrate,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,1.6356983071973538e-05,2,1.5207751841876989,0.001075568778478615
Cu concentrate,Technosphere (first-tier),market for acetylene,acetylene,,kilogram,RoW,2.465676047940615e-07,1,1.5207751841876989,1.6213284340628048e-05
Cu concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,7,1.5207751841876989,0.0
Cu concentrate,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,0.0,3,1.5207751841876989,0.0
Doré,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,7442.111780503062,21,20310.205379111914,36.642228089711594
Doré,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,260.6023023064855,19,20310.205379111914,1.2831101283421913
Doré,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,255.01558355065237,16,20310.205379111914,1.255603174810452
Doré,Biosphere (direct),Dinitrogen monoxide,,"('air', 'non-urban air or from high stacks')",kilogram,,92.13028596504378,18,20310.205379111914,0.4536157278832612
Doré,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,29.8243526563586,18,20310.205379111914,0.14684417069967953
Doré,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,3950.129109506206,21,20310.205379111914,19.448986535452402
Doré,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,1662.0362169612813,20,20310.205379111914,8.183256574404743
Doré,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,1419.945880006739,16,20310.205379111914,6.991292571896324
Doré,Technosphere (first-tier),market for sodium cyanide,sodium cyanide,,kilogram,RoW,1013.9660952782026,18,20310.205379111914,4.992397055329724
Doré,Technosphere (first-tier),"market for cement, unspecified","cement, unspecified",,kilogram,RoW,460.8375918946573,18,20310.205379111914,2.2689952331481935
Doré,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,104.01381796961519,13,20310.205379111914,0.5121258797145818
Doré,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,70.4150010515999,11,20310.205379111914,0.3466976317433914
Doré,Technosphere (first-tier),"market for sulfur dioxide, liquid","sulfur dioxide, liquid",,kilogram,RoW,66.52885282032356,13,20310.205379111914,0.32756366357942074
Doré,Technosphere (first-tier),"market for activated carbon, granular","activated carbon, granular",,kilogram,GLO,53.511211764913405,13,20310.205379111914,0.26346957485691974
Doré,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,49.770945425770726,17,20310.205379111914,0.2450538756095386
Doré,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,36.90265360807877,14,20310.205379111914,0.18169512774120644
Doré,Technosphere (first-tier),"market for hydrochloric acid, without water, in 30% solution state","hydrochloric acid, without water, in 30% solution state",,kilogram,RoW,17.932518670052964,14,20310.205379111914,0.08829314295608114
Doré,Technosphere (first-tier),market for light fuel oil,light fuel oil,,kilogram,RoW,15.787899424015626,5,20310.205379111914,0.077733824593683
Doré,Technosphere (first-tier),market for synthetic rubber,synthetic rubber,,kilogram,GLO,15.517516319985642,3,20310.205379111914,0.07640255738597637
Doré,Technosphere (first-tier),market for lubricating oil,lubricating oil,,kilogram,RoW,13.522784388887496,5,20310.205379111914,0.06658122917257667
Doré,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,11.878032367875216,14,20310.205379111914,0.05848307363790231
Doré,Technosphere (first-tier),market for kerosene,kerosene,,kilogram,RoW,11.387889610457522,3,20310.205379111914,0.05606979052102264
Doré,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,7.006747018387301,6,20310.205379111914,0.034498651725075165
Doré,Technosphere (first-tier),"market for sodium hydroxide, without water, in 50% solution state","sodium hydroxide, without water, in 50% solution state",,kilogram,RoW,4.394000381960634,2,20310.205379111914,0.02163444583617877
Doré,Technosphere (first-tier),"market for nitric acid, without water, in 50% solution state","nitric acid, without water, in 50% solution state",,kilogram,RoW,0.3899976164328099,2,20310.205379111914,0.0019202051833208148
Doré,Technosphere (first-tier),market for ammonium nitrate,ammonium nitrate,,kilogram,RoW,0.08456731193071854,1,20310.205379111914,0.0004163784183969504
Doré,Technosphere (first-tier),market for acetylene,acetylene,,kilogram,RoW,0.011190445324968068,1,20310.205379111914,5.509764729645182e-05
Doré,Technosphere (first-tier),market for biogas,biogas,,cubic meter,RoW,0.0021557168492216776,2,20310.205379111914,1.0613958889055502e-05
Doré,Technosphere (first-tier),market for sulfuric acid,sulfuric acid,,kilogram,RoW,0.00012637092014202564,2,20310.205379111914,6.222040485715233e-07
Doré,Technosphere (first-tier),"market for sulfidic tailings, from gold mine operation","sulfidic tailings, from gold mine operation",,kilogram,CA,0.0,21,20310.205379111914,0.0
Mo concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,2.391593879725949,2,5.835372158358187,40.984427639296214
Mo concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.5801472439826477,2,5.835372158358187,9.94190650122777
Mo concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.11352409469128558,2,5.835372158358187,1.9454473786848618
Mo concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.09173050485652468,2,5.835372158358187,1.5719735154361354
Mo concentrate,Biosphere (direct),"Methane, fossil",,"('air', 'non-urban air or from high stacks')",kilogram,,0.003363035129480718,2,5.835372158358187,0.05763188770511813
Mo concentrate,Technosphere (first-tier),"market for steel, low-alloyed","steel, low-alloyed",,kilogram,GLO,0.9381462870006132,2,5.835372158358187,16.07688869778214
Mo concentrate,Technosphere (first-tier),market for diesel,diesel,,kilogram,RoW,0.6272743714265231,2,5.835372158358187,10.749517844000032
Mo concentrate,Technosphere (first-tier),"market for explosive, tovex","explosive, tovex",,kilogram,GLO,0.35192806523674763,2,5.835372158358187,6.030944654192621
Mo concentrate,Technosphere (first-tier),market for polyacrylamide,polyacrylamide,,kilogram,GLO,0.19275726324802417,2,5.835372158358187,3.3032556967584648
Mo concentrate,Technosphere (first-tier),market for lime,lime,,kilogram,RoW,0.02862497165010152,2,5.835372158358187,0.49054234885603787
Mo concentrate,Technosphere (first-tier),"market for natural gas, high pressure","natural gas, high pressure",,cubic meter,CA,0.02598650900924963,2,5.835372158358187,0.44532736394590255
Mo concentrate,Technosphere (first-tier),"market for chemical, organic","chemical, organic",,kilogram,GLO,0.01993786128400122,2,5.835372158358187,0.3416724887965131
Mo concentrate,Technosphere (first-tier),market for sodium bicarbonate,sodium bicarbonate,,kilogram,RoW,0.006010121282385095,2,5.835372158358187,0.10299465259943377
Mo concentrate,Technosphere (first-tier),market for liquefied petroleum gas,liquefied petroleum gas,,kilogram,RoW,0.0022504136724048915,1,5.835372158358187,0.038565041120497405
Mo concentrate,Technosphere (first-tier),market for propane,propane,,kilogram,GLO,9.357361859315452e-05,1,5.835372158358187,0.001603558711488968
Mo concentrate,Technosphere (first-tier),"market for sulfidic tailings, from copper mine operation","sulfidic tailings, from copper mine operation",,kilogram,CA,0.0,2,5.835372158358187,0.0
Ni concentrate,Biosphere (direct),"Carbon dioxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.465299147197709,3,1.1627670657071607,40.01653993482588
Ni concentrate,Biosphere (direct),"Carbon monoxide, fossil",,"('air', 'lower stratosphere + upper troposphere')",kilogram,,0.014935300603092581,3,1.1627670657071607,1.2844619566180584
Ni concentrate,Biosphere (direct),Dinitrogen monoxide,,"('air', 'non-urban air or from high stacks')",kilogram,,0.013123544244013421,3,1.1627670657071607,1.1286477430483524
Ni concentrate,Biosphere (direct),"Carbon dioxide, from soil or biomass stock",,"('air', 'low population density, long-term')",kilogram,,0.01113076175277618,3,1.1627670657071607,0.9572649657054724
