main_id,facility_group_id,substance_name,unit,value,site_id,activity_name,metal,mass_t,allocation_factor,value_normalized,Reference product,normalization_key
QC-MAIN-e7e6a960,,Ethylene glycol,tonnes,19.05,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.6157718021512181,Ag,metal_mass
QC-MAIN-e7e6a960,,Lead (and its compounds),kg,11.949,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.386239226451701,Au,metal_mass
QC-MAIN-e7e6a960,,Lead (and its compounds),kg,11.949,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.386239226451701,Ag,metal_mass
QC-MAIN-e7e6a960,,Manganese (and its compounds),tonnes,1.138,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.03678468823349533,Au,metal_mass
QC-MAIN-e7e6a960,,Manganese (and its compounds),tonnes,1.138,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.03678468823349533,Ag,metal_mass
QC-MAIN-e7e6a960,,Mercury (and its compounds),tonnes,2.9000000000000004e-05,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,9.373953943509356e-07,Au,metal_mass
QC-MAIN-e7e6a960,,Mercury (and its compounds),tonnes,2.9000000000000004e-05,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,9.373953943509357e-07,Ag,metal_mass
QC-MAIN-e7e6a960,,Nickel (and its compounds),tonnes,0.487,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.015741777829272607,Au,metal_mass
QC-MAIN-e7e6a960,,Nickel (and its compounds),tonnes,0.487,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.015741777829272607,Ag,metal_mass
QC-MAIN-e7e6a960,,Nitrogen oxides (expressed as nitrogen dioxide),tonnes,145.93,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,4.717038272332139,Au,metal_mass
QC-MAIN-e7e6a960,,Nitrogen oxides (expressed as nitrogen dioxide),tonnes,145.93,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,4.717038272332139,Ag,metal_mass
QC-MAIN-e7e6a960,,PM10 - Particulate Matter <= 10 Micrometers,tonnes,182.17,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,5.888459275479652,Au,metal_mass
QC-MAIN-e7e6a960,,PM10 - Particulate Matter <= 10 Micrometers,tonnes,182.17,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,5.888459275479652,Ag,metal_mass
QC-MAIN-e7e6a960,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,111.11,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,3.5915173195287053,Au,metal_mass
QC-MAIN-e7e6a960,,PM2.5 - Particulate Matter <= 2.5 Micrometers,tonnes,111.11,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,3.5915173195287053,Ag,metal_mass
QC-MAIN-e7e6a960,,Selenium (and its compounds),kg,0.613,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.019814599197831843,Au,metal_mass
QC-MAIN-e7e6a960,,Selenium (and its compounds),kg,0.613,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.019814599197831847,Ag,metal_mass
QC-MAIN-e7e6a960,,Thallium (and its compounds),kg,9.538,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.30830611280411113,Au,metal_mass
QC-MAIN-e7e6a960,,Thallium (and its compounds),kg,9.538,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,0.30830611280411113,Ag,metal_mass
QC-MAIN-e7e6a960,,Total particulate matter,tonnes,354.76,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,11.46725483103234,Au,metal_mass
QC-MAIN-e7e6a960,,Total particulate matter,tonnes,354.76,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Ag,9.642085,0.3116705541703531,11.46725483103234,Ag,metal_mass
QC-MAIN-e7e6a960,,Vanadium (and its compounds),tonnes,0.173,QC-MAIN-e7e6a960,"Au and Ag, OP mining and beneficiation at Canadian Malartic",Au,21.29470024,0.688329445829647,0.005592048386990064,Au,metal_mass
