activity_name,functional_unit,site_id,subflow_type,value_normalized,unit,province
"Au and Ag and Zn, Underground mining and beneficiation at Goldex",Ore processed,QC-MAIN-c0660aec,Explosives,3.8265597786566686e-06,MJ,Quebec
"Au and Ag and Cu and Zn, Underground mining and beneficiation at LaRonde",Ore processed,QC-MAIN-e51eda66,Explosives,2.3623267915448007e-06,MJ,Quebec
"Au, Underground mining and beneficiation at Macassa",Ore processed,ON-MAIN-1f126a43,Explosives,0.00018699783508609836,MJ,Ontario
"Au and Ag, Open-pit and underground mining at Meadowbank complex",Ore processed,GRP-0a2c0d69,Explosives,1.1793426860597274e-05,MJ,Nunavut
"Au and Ag, Open-pit and underground mining and beneficiation at Meliadine",Ore processed,NU-MAIN-8b0264c9,Explosives,9.487300998934908e-06,MJ,Nunavut
"Au and Cu, Open-pit mining and beneficiation at Mount Milligan",Ore processed,BC-MAIN-ed23117f,Explosives,,MJ,British Columbia
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Explosives,6.820228384991843e-07,MJ,British Columbia
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Explosives,6.757474669100868e-06,MJ,Ontario
"Au, Underground mining and beneficiation at Brucejack",Ore processed,BC-MAIN-857b7b89,Gasoline,8.173765060240964e-05,MJ,British Columbia
"Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",Ore processed,BC-MAIN-599152a0,Gasoline,5.36274917839185e-08,MJ,British Columbia
"Au, Underground mining and beneficiation at Eagle River",Ore processed,ON-MAIN-cb85213a,Gasoline,5.433222385424949e-05,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Éléonore",Ore processed,QC-MAIN-6dc537e6,Gasoline,6.031377423239012e-06,MJ,Quebec
"Cu and Mo, Open-pit mining and beneficiation at Gibraltar",Ore processed,BC-MAIN-6b4800fe,Gasoline,1.2930333333333334e-06,MJ,British Columbia
"Au, Underground mining and beneficiation at Island",Ore processed,ON-MAIN-687b8c8d,Gasoline,3.281489175595889e-05,MJ,Ontario
"Au and Ag, Open-pit mining and beneficiation at Kiena",Ore processed,QC-MAIN-9de9bb0d,Gasoline,6.17364555213761e-06,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,Gasoline,4.2329670486952225e-06,MJ,Quebec
"Au and Cu, Open-pit mining and beneficiation at Mount Milligan",Ore processed,BC-MAIN-ed23117f,Gasoline,,MJ,British Columbia
"Au, Underground mining and beneficiation at Musselwhite",Ore processed,ON-MAIN-fefeaee4,Gasoline,5.289528210116732e-06,MJ,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Gasoline,1.2771729696574224e-06,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Gasoline,5.907195637238063e-06,MJ,Ontario
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Gasoline,4.290836544728435e-06,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Red Chris",Ore processed,BC-MAIN-8eb8be0d,Gasoline,2.1993643546971028e-05,MJ,British Columbia
"Au, Underground mining and beneficiation at Red Lake",Ore processed,ON-MAIN-7f050560,Gasoline,5.910202818073723e-06,MJ,Ontario
"Fe, Open-pit mining and beneficiation at Scully",Ore processed,NL-MAIN-b64bae7a,Gasoline,3.3707865168539322e-06,MJ,Newfoundland and Labrador
"Au and Ag and Cu and Zn, Underground mining and beneficiation at Snow Lake",Ore processed,GRP-a13779f8,Gasoline,1.1264151390194683e-06,MJ,Manitoba
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Gasoline,1.8717280813214741e-06,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Gasoline,3.2406189555125724e-06,MJ,Quebec
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Gasoline,7.380004565596044e-07,MJ,Ontario
"Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",Ore processed,QC-MAIN-b86f7d07,Gasoline|Mobile equipment,1.3153753757887401e-05,MJ,Quebec
"Ag and Zn and Pb, Underground mining and beneficiation at Keno Hill Silver District",Ore processed,YT-MAIN-44857446,Gasoline|Mobile equipment,6.545869522876511e-05,MJ,Yukon
"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",Ore processed,QC-MAIN-e7e6a960,Light Fuel & Gasoline,2.18592280614657e-06,MJ,Quebec
"Au and Ag, Open-pit mining and beneficiation at Detour Lake",Ore processed,ON-MAIN-aeafbb59,Light Fuel & Gasoline,2.8269869922061424e-06,MJ,Ontario
"Au and Ag and Zn, Underground mining and beneficiation at Goldex",Ore processed,QC-MAIN-c0660aec,Light Fuel & Gasoline,4.665860434371806e-07,MJ,Quebec
"Au and Ag and Cu and Zn, Underground mining and beneficiation at LaRonde",Ore processed,QC-MAIN-e51eda66,Light Fuel & Gasoline,3.1330923322892743e-06,MJ,Quebec
"Au, Underground mining and beneficiation at Macassa",Ore processed,ON-MAIN-1f126a43,Light Fuel & Gasoline,1.4583729630334159e-05,MJ,Ontario
"Au and Ag, Open-pit and underground mining at Meadowbank complex",Ore processed,GRP-0a2c0d69,Light Fuel & Gasoline,1.3313992488967234e-05,MJ,Nunavut
"Au and Ag, Open-pit and underground mining and beneficiation at Meliadine",Ore processed,NU-MAIN-8b0264c9,Light Fuel & Gasoline,2.7578757162526465e-06,MJ,Nunavut
"Au, Underground mining and beneficiation at Red Lake",Ore processed,ON-MAIN-7f050560,LPG,1.742643615999997e-05,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,LPG|Mobile equipment,5.3672447785653697e-08,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,LPG|Stationary equipment,2.2303883857593871e-07,MJ,Quebec
"Au and Ag, Open-pit and underground mining at Meadowbank complex",Ore processed,GRP-0a2c0d69,Lubricating Oils & Greases,1.90259375475146e-06,MJ,Nunavut
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Naphta,2.2042725501008147e-06,MJ,Ontario
"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",Ore processed,QC-MAIN-e7e6a960,Natural gas,8.308527594487715e-06,MJ,Quebec
"Cu and Mo, Open-pit mining and beneficiation at Gibraltar",Ore processed,BC-MAIN-6b4800fe,Natural gas,6.232566666666667e-06,MJ,British Columbia
"Au and Ag and Zn, Underground mining and beneficiation at Goldex",Ore processed,QC-MAIN-c0660aec,Natural gas,2.9870512895146124e-05,MJ,Quebec
"Au and Ag, Open-pit mining and beneficiation at Kiena",Ore processed,QC-MAIN-9de9bb0d,Natural gas,3.037646221775796e-07,MJ,Quebec
"Au and Ag, Underground mining and beneficiation at Lamaque",Ore processed,QC-MAIN-f9e41c2a,Natural gas,9.172502054462028e-05,MJ,Quebec
"Au and Ag and Cu and Zn, Underground mining and beneficiation at LaRonde",Ore processed,QC-MAIN-e51eda66,Natural gas,0.0001118851384145108,MJ,Quebec
"Au, Underground mining and beneficiation at Macassa",Ore processed,ON-MAIN-1f126a43,Natural gas,0.0007407130628549689,MJ,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Natural gas,1.931419249592169e-05,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Natural gas,5.726726210924081e-05,MJ,Ontario
"Au, Underground mining and beneficiation at Red Lake",Ore processed,ON-MAIN-7f050560,Natural gas,0.0003653186682520808,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Timmins Operation",Ore processed,GRP-147b3123,Natural gas,0.00010122337919313852,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Westwood-Doyon",Ore processed,QC-MAIN-02884fb5,Natural gas,6.185522243713732e-05,MJ,Quebec
"Au, Underground mining and beneficiation at Young-Davidson",Ore processed,ON-MAIN-7607a50e,Natural gas,7.700082729712198e-05,MJ,Ontario
"Au, Open-pit and underground mining and beneficiation at Hemlo (Williams)",Ore processed,ON-MAIN-6e9be24e,Non-renewable fuel use,0.00023775502385844016,MJ,Ontario
"Fe, Open-pit mining and beneficiation at Scully",Ore processed,NL-MAIN-b64bae7a,Oil,0.000297191011235955,MJ,Newfoundland and Labrador
"Au, Underground mining and beneficiation at Seabee Gold Operation",Ore processed,GRP-14bfbb82,Other,8.423770491803279e-05,MJ,Saskatchewan
"Pt, Open-pit and underground mining and beneficiation at Lac des Iles",Ore processed,ON-MAIN-a3c56a83,Petrol,1.349839968774395e-06,MJ,Ontario
"Au, Underground mining and beneficiation at Brucejack",Ore processed,BC-MAIN-857b7b89,Propane,0.0002534400078313253,MJ,British Columbia
"Au and Ag, Open-pit mining and beneficiation at Canadian Malartic",Ore processed,QC-MAIN-e7e6a960,Propane,7.46932762396473e-08,MJ,Quebec
"Au and Ag, Open-pit and underground mining and beneficiation at Casa Berardi",Ore processed,QC-MAIN-b86f7d07,Propane,3.144667947525795e-05,MJ,Quebec
"Au and Ag and Cu, Open-pit mining and beneficiation at Copper Mountain",Ore processed,BC-MAIN-599152a0,Propane,1.4747560240577592e-06,MJ,British Columbia
"Au and Ag, Open-pit mining and beneficiation at Detour Lake",Ore processed,ON-MAIN-aeafbb59,Propane,7.1739355598279704e-06,MJ,Ontario
"Au, Underground mining and beneficiation at Eagle River",Ore processed,ON-MAIN-cb85213a,Propane,0.0002597551312284673,MJ,Ontario
"Au and Ag, Underground mining and beneficiation at Éléonore",Ore processed,QC-MAIN-6dc537e6,Propane,8.572737757375076e-05,MJ,Quebec
"Cu and Mo, Open-pit mining and beneficiation at Gibraltar",Ore processed,BC-MAIN-6b4800fe,Propane,1.51e-08,MJ,British Columbia
"Au, Underground mining and beneficiation at Island",Ore processed,ON-MAIN-687b8c8d,Propane,0.00016403117938625263,MJ,Ontario
"Ag and Zn and Pb, Underground mining and beneficiation at Keno Hill Silver District",Ore processed,YT-MAIN-44857446,Propane,0.00028745946577824215,MJ,Yukon
"Au, Underground mining and beneficiation at Macassa",Ore processed,ON-MAIN-1f126a43,Propane,1.4900767230993596e-06,MJ,Ontario
"Au and Ag, Open-pit and underground mining at Meadowbank complex",Ore processed,GRP-0a2c0d69,Propane,6.11557286782373e-08,MJ,Nunavut
"Au and Cu, Open-pit mining and beneficiation at Mount Milligan",Ore processed,BC-MAIN-ed23117f,Propane,,MJ,British Columbia
"Au, Underground mining and beneficiation at Musselwhite",Ore processed,ON-MAIN-fefeaee4,Propane,0.0002236302227140078,MJ,Ontario
"Au and Cu, Underground mining and beneficiation at New Afton",Ore processed,BC-MAIN-aa76f6f2,Propane,2.317336125285481e-07,MJ,British Columbia
"Au, Open-pit and underground mining at Porcupine complex",Ore processed,GRP-0d911886,Propane,2.176591573445551e-06,MJ,Ontario
"Au, Open-pit and underground mining and beneficiation at Rainy River",Ore processed,ON-MAIN-0aadf28f,Propane,9.635076341434962e-06,MJ,Ontario
"Au and Cu, Open-pit mining and beneficiation at Red Chris",Ore processed,BC-MAIN-8eb8be0d,Propane,7.051201562774365e-05,MJ,British Columbia
"Fe, Open-pit mining and beneficiation at Scully",Ore processed,NL-MAIN-b64bae7a,Propane,2.808988764044944e-07,MJ,Newfoundland and Labrador
"Au, Underground mining and beneficiation at Seabee Gold Operation",Ore processed,GRP-14bfbb82,Propane,0.0003293196721311475,MJ,Saskatchewan
