env_id,year,compartment_name,substance_id,flow_direction,release_pathway,unit,value,comment,main_id,facility_group_id,company_id,source_id,site_id
GHG-10240-2023-4,2023,Air,124-38-9,Emission,Waste,tonnes,7.744957,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-a97821c0
GHG-10240-2023-5,2023,Air,124-38-9,Emission,Wastewater,tonnes,0.0,,QC-MAIN-a97821c0,,CMP-d5f1c66b,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,QC-MAIN-a97821c0
GHG-10275-2023-1,2023,Air,124-38-9,Emission,Flaring / Torchage,tonnes,0.0,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10275-2023-2,2023,Air,124-38-9,Emission,Leakage / Fuites,tonnes,0.0,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10275-2023-3,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,225538.63,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10275-2023-4,2023,Air,124-38-9,Emission,On-site Transportation,tonnes,3227.98,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10275-2023-5,2023,Air,124-38-9,Emission,Waste,tonnes,0.0,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10275-2023-6,2023,Air,124-38-9,Emission,Wastewater,tonnes,0.0,,ON-MAIN-020a683c,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-020a683c
GHG-10276-2023-1,2023,Air,124-38-9,Emission,Leakage / Fuites,tonnes,0.0,,ON-MAIN-b2e5c9bb,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-b2e5c9bb
GHG-10276-2023-2,2023,Air,124-38-9,Emission,Stationary Fuel Combustion,tonnes,616189.559,,ON-MAIN-b2e5c9bb,,CMP-75ff8886,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/greenhouse-gas-emissions/large-facilities.html; https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,ON-MAIN-b2e5c9bb
