Commodity,Climate change EQ marine LT (PDF.m2.yr),Climate change EQ marine ST (PDF.m2.yr),Climate change EQ terrestrial LT (PDF.m2.yr),Climate change EQ terrestrial ST (PDF.m2.yr),Fisheries impact (PDF.m2.yr),Freshwater acidification (PDF.m2.yr),Freshwater ecotoxicity LT (PDF.m2.yr),Freshwater ecotoxicity ST (PDF.m2.yr),Freshwater eutrophication (PDF.m2.yr),Ionizing radiations EQ (PDF.m2.yr),Land occupation biodiversity (PDF.m2.yr),Land transformation biodiversity (PDF.m2.yr),Marine acidification LT (PDF.m2.yr),Marine acidification ST (PDF.m2.yr),Marine ecotoxicity LT (PDF.m2.yr),Marine ecotoxicity ST (PDF.m2.yr),Marine eutrophication (PDF.m2.yr),Photochemical ozone EQ (PDF.m2.yr),Terrestrial acidification (PDF.m2.yr),Terrestrial ecotoxicity LT (PDF.m2.yr),Terrestrial ecotoxicity ST (PDF.m2.yr),Thermally polluted water (PDF.m2.yr),Water availability freshwater (PDF.m2.yr),Water availability terrestrial (PDF.m2.yr)
Westwood-Doyon,57541.113637221526,18228.41734356112,8004.283797095594,2535.672627419953,1.0899297386803837e-14,76.70681721043452,773.9643226994694,392.5782661664819,1.0648285236295494,2.1026094062182834e-06,2449.8471898391485,10834.0578233997,1712.546242863234,172.91424864067255,0.004501479184570481,0.003751052916349211,13.941296624384588,197.5408188125292,527.6204550663579,164.3057314042027,136.91343018587455,11.3057975500347,0.23382540489387793,0.5241858844474665
Nunavik Nickel,5.009030376786355,1.5934883214011122,0.6967835360074014,0.22166294706647116,9.668030542252599e-20,0.02268150761022699,0.14600923889245296,0.05206379250284102,0.00024339752429830875,8.665531425131689e-11,0.08204829959167922,0.2375425438232722,0.16114507954337326,0.017437949299280584,5.709461556905716e-07,3.9733929629443487e-07,0.0065059401505344104,0.21121181447426612,0.17848733245575163,0.0208397070690611,0.014502884319002414,0.0004683585936901424,1.2988513941237893e-05,3.5702248989698e-05
Thompson,4.95650018540416,1.3249377616949412,0.6894763049001635,0.1843060941316054,4.8443446086361e-20,0.00989268710982898,0.1524122006570513,0.12294116945391925,0.00012519623151640148,3.6003184772256254e-11,0.13211068129373393,1.2313903105918331,0.1552763711222891,0.01458100741804354,4.1025871936276423e-07,3.1307440074910843e-07,0.004631476613438748,0.08275498240158667,0.07593515449374674,0.014975525955415826,0.01142721549252003,0.0005350965726838472,1.5279401827002215e-05,2.5199634660667875e-05
Voisey's Bay,14.273444409883748,4.511988975817166,1.985514225706054,0.6276423610660584,7.569832612311311e-20,0.1594129889571537,0.1942522056021882,0.09260079304138275,0.00021655200721846265,3.7669797222129456e-11,0.11966436273880594,0.6328604961472788,0.452442943742955,0.048939779900926676,9.909892056161606e-07,7.594429496026933e-07,0.09455300290708603,1.7095082296263642,1.3005203828951926,0.036171350456608346,0.027719667326136725,0.0022087860159251686,5.2213328763563854e-05,2.915796983256971e-05
Raglan,7.54224868019493,2.36644976294906,1.0491680646000385,0.32918611398008674,1.1880727910107402e-19,0.07099692536443267,0.11952239369041193,0.052975085441255156,0.0001892796017575745,1.7786967227213192e-10,0.12763572005901705,0.14992619279168432,0.24676513800609837,0.02678579241992431,5.451749549045271e-07,7.2941036253257e-07,0.022304102013838915,0.754758031881614,0.577337956828261,0.01989902452840711,0.026623477661055744,0.0009865745336286244,2.1841156815164027e-05,2.4149405259668274e-05
Gibraltar (Mo),32.905955083608475,9.766542612537336,4.577398440331459,1.3585795325025949,1.839619126367557e-18,0.05611054586732872,0.5613768679559206,0.2519459094011116,0.001076263160397648,2.697316416529747e-10,1.0188837534426793,3.9120036813179473,1.0482116927319693,0.10585670449683485,2.8681679892159796e-06,2.0898851423576904e-06,0.017090869917025672,0.34442513203533426,0.4100304701064518,0.10468904553249675,0.07628080728263939,0.0020892935073334507,0.00017070070660187182,0.00019383120980892346
Highland Valley (Mo),20.83314629828947,5.34582802174851,2.8980046840561675,0.7436339369719951,5.965895605903255e-19,0.020784635450448473,0.19737619622195604,0.10818085575122925,0.0003530567731066707,9.541827121585132e-11,0.6247394451452736,4.759417932532126,0.648976206122784,0.0582058933643975,1.2005332197485555e-06,8.05946714422997e-07,0.006526937640577712,0.15764392925720166,0.15514001741171102,0.04381980721244336,0.029417054914767825,0.0007098328629124069,0.00012934782304938833,6.612818940582745e-05
Kidd Creek (Zn),0.721328265654974,0.18423400712623758,0.10034070977963967,0.025627958710347617,1.294273332348197e-20,0.002857717570545605,0.12081862761480182,0.0011767545688525201,7.395167203195694e-06,1.0044747934610363e-12,0.012002496720001352,0.09226665003401206,0.022856811359787566,0.002182817385122398,1.679226441919224e-08,1.2605337076489773e-08,0.0008862248728247869,0.030095555133195506,0.023313114114149356,0.000612935767218422,0.00046009479966010493,4.231031459716332e-06,3.555754227134851e-07,1.390381108226187e-06
LaRonde (Zn),1.8638938112091152,0.5727913499720722,0.2592778294201383,0.07967841187802116,1.7544420964273013e-19,0.005399073229354164,0.036065571059437807,0.012520696538209591,3.126548115290052e-05,1.0938109802484785e-10,0.08735164816574972,0.1640092089197862,0.05741205492825265,0.00585071536907701,1.406463131541253e-07,1.3428866888984727e-07,0.001553082246232763,0.03957235379262862,0.04066070857882042,0.005133765003667036,0.004901536337414888,0.0006107015825485417,1.489418564261727e-05,1.0133575247044188e-05
Snow Lake (Zn),2.861622207609587,0.9004497956282316,0.39806730942376867,0.12525749422767596,8.888645154567405e-20,0.002987168261608157,0.039529418120289844,0.011986965926242746,1.783227796795482e-05,6.526807754257081e-11,0.05214498664170921,0.0341821815661607,0.08703503111405186,0.009447862434867376,1.9660816677913704e-07,1.7079133564921707e-07,0.0021735064817958137,0.006737219066805764,0.019345416259520683,0.007176321290084732,0.006233883700006398,0.00165684090471928,4.392624608211271e-05,2.8982352092724813e-05
Key Lake + McArthur River,126.80156994303995,39.055600299417705,17.638792273177653,5.432847757498283,3.079513181345268e-19,0.16343727299520103,0.45033977974309936,0.5829744129795941,0.00019800074736376366,1.98219935510927e-10,0.9184215076545507,9.865665007455593,4.043684280630997,0.4389494725103833,5.979551875833111e-06,3.378148114982463e-06,0.08296850786698456,1.061726597069626,1.150741557677771,0.21825558989015348,0.12330240487323835,0.0014264000244115658,0.001763346771372496,0.0015816874193198627
Cigar Lake + McClean Lake,69.45872043453485,21.47448472787344,9.662088108093725,2.987218358610988,1.6960211253107355e-19,0.15452528539590965,0.22951547172122577,0.3090087146474575,0.00010880004265777042,1.0899673863813786e-10,0.3535192980910709,3.681899783888943,2.199019206164986,0.23870908612837896,3.278556558154352e-06,1.849486784038654e-06,0.05256941630379082,0.7249753976247248,0.9826494038655628,0.11966963500009842,0.06750626690646552,0.0007955833491342898,0.000596728395527703,0.0008826882530573538
Market for Doré,85031.18978870669,26991.394484411358,11828.303817408656,3754.650703388397,8.556031267544842e-15,354.6765617597244,2235.751448679567,558.640507335644,21.314301071561385,3.462364028897038e-05,1378.4935803400933,4828.88945472528,2662.6738918067767,283.7819714783522,0.0070467043759953165,0.03858741175345932,102.84313105876382,2855.7236318738865,2720.9925133251772,257.2188511216998,1408.4404815956523,10.66384529320513,0.4434960132401642,0.6234233198872183
Market for Cu concentrate,6.750742577198372,1.9304877436447958,0.9390652394617318,0.26854141110896323,2.7221684135766504e-19,0.015588680625046165,0.719697882625098,0.04252989230755709,0.0011434236951507562,4.991215262628952e-11,0.18584622101249462,0.983964660251468,0.2126495076013762,0.02097077739985541,5.047127104390281e-07,1.6937991687939082e-06,0.004788632051884875,0.125713901471842,0.11877823563198683,0.018422237465929425,0.061823667743622295,0.0005062089799148615,4.504919456817854e-05,3.141635711324744e-05
Market for Ni concentrate,4.845171834837427,1.5195612584982365,0.6739899165690703,0.21137928788050445,6.798199868435375e-20,0.03617501553337293,0.10440935059632561,0.04483712649653457,0.00015545858355488188,6.960991418299305e-11,0.07222765020601242,0.24517007224763834,0.1557077196285468,0.016740904981082803,4.3259645163464683e-07,3.6725730983904707e-07,0.015322496134554029,0.37279557593306356,0.29193873023839423,0.015789943719637215,0.013404891677445175,0.0005847702400112039,1.4484470323075128e-05,2.23308551459951e-05
Market for U concentrate,94.0342296809181,29.00924925909021,13.080675929328697,4.0353453432866475,2.2889463486183253e-19,0.15834471329590388,0.32415446865370545,0.4264225957368101,0.00014702891972546013,1.4723525521184026e-10,0.595620257987601,6.332085015759611,2.989590025754202,0.3245264025444132,4.436126089224697e-06,2.5046274160703826e-06,0.06559760009841648,0.8692973632836289,1.054688928357391,0.161920762510568,0.0914188997130481,0.0010659333792204689,0.0010967077222119714,0.001182259353594848
Market for Mo concentrate,25.38769059924052,7.013570864664442,3.5315667157018367,0.975626094499141,1.065530411505512e-18,0.0341115610090444,0.334697776847361,0.1624171413928304,0.0006258910064834955,1.611791046740435e-10,0.7734329053855442,4.439725488375663,0.7995903459312806,0.07618246651635953,1.8296590984406669e-06,1.2903206951351811e-06,0.010512248631656881,0.22810833217828624,0.2512990703157358,0.06678311653205704,0.04709670511579025,0.0012302432105089247,0.0001449484627564085,0.0001143049703135509
Market for Zn concentrate,1.7176252777123397,0.5191409728486052,0.23893107615692624,0.07221535039140979,5.991657902721109e-20,0.0031036064193064807,0.07669550541873305,0.0067706831480070125,1.3903401248276506e-05,3.818861580761789e-11,0.03576082530472705,0.07302687763272359,0.052739084962618865,0.005549286486131282,1.0381677272360741e-07,9.038841537395845e-08,0.001476182975669817,0.02065886892677174,0.022887190127561265,0.0037893889136805785,0.0032991771306804603,0.0007566953031443901,2.005433653712394e-05,1.3802638850370265e-05
